krp,10881,oṅkā,"like that",,ɔŋka,,toulmin
kbh,10881,oi nākhān,"like that",,oi naxan,,toulmin
kbn,10881,heṅkā,"like that",,heŋka,,toulmin
krp,10882,oṅkā,"like that",,ɔŋka,,toulmin
kbh,10882,oi nākhān,"like that",,oi naxan,,toulmin
kbn,10882,heṅkā,"like that",,heŋka,,toulmin
kks,88,aghan,"8th month in the Hindu calendar",,ʌgɦən,,toulmin
krl,88,aghan,"8th month in the Hindu calendar",,ʌgɦʌn,,toulmin
kmh,88,aghan,"8th month in the Hindu calendar",,ʌgɦʌn,,toulmin
kth,88,aghan,"8th month in the Hindu calendar",,ɔgɦon,,toulmin
ksh,88,aghan,"8th month in the Hindu calendar",,ɔɣɦɔn,,toulmin
krp,88,āgon,"8th month in the Hindu calendar",,agon,,toulmin
kbh,88,āgon,"8th month in the Hindu calendar",,"agon, aɣon",,toulmin
kbn,88,āghon,"8th month in the Hindu calendar",,aɣɦon,,toulmin
kks,1589,atalā,"that many",,ʌdəla,,toulmin
kks,134,āṅul,"finger, toe",,aŋul,,toulmin
kks,138,āṅṭhī,"ring (on finger)",,aŋʈhi,,toulmin
kks,68,āgu,"in front, ahead, further on",,agu,,toulmin
kks,118,eṅnā,"courtyard",,ɛŋna,,toulmin
kks,55,āgin,"fire",,agin,,toulmin
kks,125,āṅrā,"glowing charcoal",,aŋra,,toulmin
kks,242,āj,"today",,aʤ,,toulmin
kks,1338,āṭā,"flour",,aʈa,,toulmin
kks,1341,ādo,"ginger",,adʌ,,toulmin
kks,644,ādhā,"half",,adɦa,,toulmin
kks,386,andhar,"darkness",,əndɦər,,toulmin
kks,1268,ām,"mango",,am,,toulmin
kks,434,ār,"and",,ar,,toulmin
kks,1388,ālū,"potato",,alu,,toulmin
kks,1400,ālo,"light",,alo,,toulmin
kks,1600,īṭā,"brick",,iʈa,,toulmin
kks,2387,ū̃ṭ,"camel",,ũʈ,,toulmin